1.Gün	Aktif Görme Alanı Genişletme Çalışmaları-Modül 1 - Egzersiz 1						1	1	3		1		
1.Gün	Aktif Görme Alanı Genişletme Çalışmaları-Modül 1 - Egzersiz 1						1	1	4		2		
1.Gün	Aktif Görme Alanı Genişletme Çalışmaları-Modül 1 - Egzersiz 2						1	2	3		1		
1.Gün	Aktif Görme Alanı Genişletme Çalışmaları-Modül 1 - Egzersiz 2						1	2	4		2		
1.Gün	Göz Sıçrama Takip Çalışmaları-Modül 2 - Egzersiz 1	Harf					2	1	3	3	1		
1.Gün	Göz Sıçrama Takip Çalışmaları-Modül 2 - Egzersiz 1	Sayı					2	1	3	4	1		
1.Gün	Göz Sıçrama Takip Çalışmaları-Modül 2 - Egzersiz 1	Harf					2	1	3	5	1		
1.Gün	Göz Sıçrama Takip Çalışmaları-Modül 2 - Egzersiz 1	Harf					2	1	4	3	1		
1.Gün	Göz Sıçrama Takip Çalışmaları-Modül 2 - Egzersiz 1	Sayı					2	1	4	4	1		
1.Gün	Göz Sıçrama Takip Çalışmaları-Modül 2 - Egzersiz 1	Harf					2	1	4	5	1		
1.Gün	Göz Sıçrama Takip Çalışmaları-Modül 2 - Egzersiz 1	Harf					2	1	5	3	1		
1.Gün	Göz Sıçrama Takip Çalışmaları-Modül 2 - Egzersiz 1	Sayı					2	1	5	4	1		
1.Gün	Göz Sıçrama Takip Çalışmaları-Modül 2 - Egzersiz 1	Harf					2	1	5	5	1		
1.Gün	Göz Sıçrama Takip Çalışmaları-Modül 2 - Egzersiz 2 (küçük resim)						2	2	3		1		
1.Gün	Göz Sıçrama Takip Çalışmaları-Modül 2 - Egzersiz 2 (küçük resim)						2	2	4		2		
1.Gün	Göz Sıçrama Takip Çalışmaları-Modül 2 - Egzersiz 2 (küçük resim)						2	2	5		3		
1.Gün	Göz Odaklanma Çalışmaları-Modül 3 - Egzersiz 1						3	1	3	3	1		
1.Gün	Göz Odaklanma Çalışmaları-Modül 3 - Egzersiz 1						3	1	3	4	1		
1.Gün	Göz Odaklanma Çalışmaları-Modül 3 - Egzersiz 1						3	1	4	3	1		
1.Gün	Göz Odaklanma Çalışmaları-Modül 3 - Egzersiz 1						3	1	4	4	1		
1.Gün	Göz Odaklanma Çalışmaları-Modül 3 - Egzersiz 1						3	1	5	3	1		
1.Gün	Göz Odaklanma Çalışmaları-Modül 3 - Egzersiz 1						3	1	5	4	1		
1.Gün	Okuma-Anlama Çalışmaları-Modül 6 - Egzersiz 2 ("Dik" Okuma)						6	2					
1.Gün	Okuma-Anlama Çalışmaları-Modül 6 - Egzersiz 3 ("S" Okuma)						6	3					
1.Gün	Okuma-Anlama Çalışmaları-Modül 6 - Egzersiz 4 ("Z" Okuma)						6	4					
1.Gün	Okuma-Anlama Çalışmaları-Modül 6 - Egzersiz 5 ("İlk 3 Son 3" Okuma)						6	5					
2.Gün	Göz Odaklanma Çalışmaları-Modül 3 - Egzersiz 2						3	2	3	2	1		
2.Gün	Göz Odaklanma Çalışmaları-Modül 3 - Egzersiz 2						3	2	3	3	1		
2.Gün	Göz Odaklanma Çalışmaları-Modül 3 - Egzersiz 2						3	2	4	2	1		
2.Gün	Göz Odaklanma Çalışmaları-Modül 3 - Egzersiz 2						3	2	4	3	1		
2.Gün	Göz Odaklanma Çalışmaları-Modül 3 - Egzersiz 2						3	2	5	2	1		
2.Gün	Göz Odaklanma Çalışmaları-Modül 3 - Egzersiz 2						3	2	5	3	1		
